DEBUG: Starting main...
DEBUG: Loading tokens...
DEBUG: Loaded tokens from data/tinystories/train_tokens.npy, shape=(64064,)
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41344.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40576.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55008.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=63008.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56256.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46240.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47040.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39200.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48000.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42880.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55776.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44448.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53536.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40896.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52736.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48416.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=31008.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48416.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=36192.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44800.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48352.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50048.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=62752.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46816.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43744.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57216.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48128.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43872.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43552.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=60480.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48832.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56832.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50720.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41856.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=62208.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47520.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=inf
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48608.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50688.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56928.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45312.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50112.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45216.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=59776.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53248.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51776.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42112.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48768.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47136.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46528.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48800.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56832.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50976.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48960.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44192.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43776.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44960.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48160.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54688.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42656.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48160.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51488.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50592.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48800.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49696.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51136.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43808.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52256.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41792.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48864.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49152.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51168.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=60288.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51808.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47104.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43040.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41984.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46048.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52288.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48672.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57984.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54848.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46016.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52000.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47424.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43456.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50816.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47744.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53888.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49952.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51040.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56736.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50432.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48032.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56864.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52128.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42464.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56064.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49600.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46240.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51136.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50304.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53376.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42656.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48384.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=59200.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=inf
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=inf
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=inf
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50048.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58752.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49312.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=63296.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45120.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51168.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49472.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55232.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54976.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44416.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53024.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50944.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39968.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44864.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=60800.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50080.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48832.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48352.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49408.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52864.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58432.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42112.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47040.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45472.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48480.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50912.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56320.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38752.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42304.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44224.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45792.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50208.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47648.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=60160.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45152.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46912.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=59360.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46944.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51296.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55584.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45344.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52512.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45568.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46912.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47968.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48288.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47968.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52704.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50208.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40416.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48576.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43648.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=59040.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52736.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47264.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47968.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51168.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50272.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55872.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46080.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53440.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53536.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49792.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46240.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48576.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=59360.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42816.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=62496.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55488.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38176.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46400.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52864.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53632.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52416.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54592.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45824.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44224.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43456.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42592.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46208.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52704.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49216.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40576.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42592.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57056.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54240.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48416.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=33504.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38496.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49824.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46240.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45152.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44320.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39328.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40928.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41472.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44032.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46240.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46752.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43584.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53856.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49408.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48448.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42400.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43968.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40736.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41664.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51552.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54976.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49664.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47360.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43680.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41856.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41888.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45344.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53568.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51680.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48672.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44736.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53824.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45248.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=61728.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48928.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55072.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46752.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49600.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44064.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38272.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44320.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47200.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53152.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49472.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51648.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=59008.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43680.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42464.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47392.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51968.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46848.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58240.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46784.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44352.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=63104.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42080.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42432.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44864.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48128.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50048.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51456.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53952.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=28352.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45280.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51168.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39360.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40736.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=35744.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42688.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40704.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44832.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42208.0
